0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:24:15 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:25:12 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:25:12 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:27:43 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:27:43 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:37:47 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:37:47 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:37:58 +0900] "GET /04.css_basic/login.html HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:37:58 +0900] "GET /04.css_basic/img/icon.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [28/Jun/2021:11:37:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:16:02 +0900] "GET /04.css_basic/imageView.html HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:16:02 +0900] "GET /04.css_basic/img/00.jpg HTTP/1.1" 200 34469
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:16:02 +0900] "GET /04.css_basic/img/01.jpg HTTP/1.1" 200 148863
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:16:03 +0900] "GET /04.css_basic/img/04.jpg HTTP/1.1" 200 14760
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:16:03 +0900] "GET /04.css_basic/img/02.jpg HTTP/1.1" 200 15193
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:16:03 +0900] "GET /04.css_basic/img/03.jpg HTTP/1.1" 200 26914
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:16:03 +0900] "GET /04.css_basic/img/06.jpg HTTP/1.1" 200 39366
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:16:03 +0900] "GET /04.css_basic/img/10.gif HTTP/1.1" 200 946696
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:16:03 +0900] "GET /04.css_basic/img/05.jpg HTTP/1.1" 200 8229
